"City1";"Country1";"City2";"Country2";"Year";"k50";"k100";"k150";"k200";"H1";"H2";"Hboth"
"Nakskov";"Denmark";"Eckernforde";"WestGER";"1969";"1";"1";"1";"1";0;0;0
"Nykobing Falster";"Denmark";"Eutin";"WestGER";"0";"1";"1";"1";"1";0;0;0
"Rodding";"Denmark";"Garbsen";"WestGER";"0";"0";"0";"0";"0";0;0;0
"Fredericia";"Denmark";"Herford";"WestGER";"1987";"0";"0";"0";"0";0;0;0
"Gentofte";"Denmark";"Husum";"WestGER";"1982";"0";"1";"1";"1";0;0;0
"Silkeborg";"Denmark";"Kaiserslautern";"WestGER";"2000";"0";"0";"0";"0";0;0;0
"Viborg Municipality";"Denmark";"Luneburg";"WestGER";"1992";"0";"1";"1";"1";0;1;1
"Aarhus Municipality";"Denmark";"Rostock";"EastGER";"1964";"1";"1";"1";"1";0;1;1
"Nexo";"Denmark";"Wolgast";"EastGER";"0";"1";"1";"1";"1";0;0;0
"Nexo";"Denmark";"Kolobrzeg";"Poland";"0";"1";"1";"1";"1";0;1;1
"Nyborg";"Denmark";"Kolobrzeg";"Poland";"1992";"1";"1";"1";"1";0;1;1
"Nykobing Falster";"Denmark";"Lublin";"Poland";"1992";"0";"0";"0";"0";0;0;0
"Korsor";"Denmark";"Police";"Poland";"0";"1";"1";"1";"1";0;0;0
"Haderslev Municipality";"Denmark";"Rybnik";"Poland";"0";"0";"0";"0";"0";0;0;0
"Naestved Municipality";"Denmark";"Alytus";"Lithuania";"0";"0";"0";"0";"0";0;0;0
"Koge Municipality";"Denmark";"Klaipeda";"Lithuania";"1995";"1";"1";"1";"1";0;0;0
"Fredericia";"Denmark";"Siauliai";"Lithuania";"1993";"0";"0";"1";"1";0;0;0
"Nakskov";"Denmark";"Silute";"Lithuania";"1992";"1";"1";"1";"1";0;0;0
"Egedal";"Denmark";"Saue";"Estonia";"1996";"1";"1";"1";"1";0;0;0
"Billund Municipality";"Denmark";"Narva-Joesuu";"Estonia";"0";"1";"1";"1";"1";0;0;0
"Fredensborg-Humlebaek";"Denmark";"Paide";"Estonia";"1997";"0";"1";"1";"1";0;0;0
"Tommerup";"Denmark";"Vaike-Maarja Parish";"Estonia";"2007";"0";"1";"1";"1";0;0;0
"Hedensted";"Denmark";"Polva";"Estonia";"0";"0";"0";"0";"1";0;0;0
"Verden an der Aller, Lower Saxony";"WestGER";"Bagrationovsk";"Russia";"0";"0";"0";"0";"1";0;0;0
"Herne, North Rhine-Westphalia";"WestGER";"Belgorod";"Russia";"0";"0";"0";"0";"0";0;0;0
"Kirchheimbolanden";"WestGER";"Chernyakhovsk";"Russia";"0";"0";"0";"0";"0";0;0;0
"Ettlingen";"WestGER";"Gatchina";"Russia";"0";"0";"0";"0";"0";0;0;0
"Pforzheim";"WestGER";"Irkutsk";"Russia";"0";"0";"0";"0";"0";0;0;0
"Bad Orb";"WestGER";"Istra";"Russia";"0";"0";"0";"0";"0";0;0;0
"Hanover";"WestGER";"Ivanovo";"Russia";"0";"0";"0";"0";"0";0;0;0
"Suhl";"WestGER";"Kaluga";"Russia";"0";"0";"0";"0";"0";0;0;0
"Braunschweig";"WestGER";"Kazan";"Russia";"0";"0";"0";"0";"0";1;0;1
"Sassnitz";"EastGER";"Kingisepp";"Russia";"2003";"1";"1";"1";"1";0;0;0
"Hochstadt";"WestGER";"Krasnogorsk";"Russia";"0";"0";"0";"0";"0";0;0;0
"Zweibrucken";"WestGER";"Kursk";"Russia";"0";"0";"0";"0";"0";0;0;0
"Speyer";"WestGER";"Kursk";"Russia";"0";"0";"0";"0";"0";0;0;0
"Witten";"WestGER";"Kursk";"Russia";"0";"0";"0";"0";"0";0;0;0
"Drochtersen";"WestGER";"Mozhaysk";"Russia";"0";"0";"0";"0";"0";0;0;0
"Anklam";"WestGER";"Nefteyugansk";"Russia";"0";"0";"0";"0";"0";1;0;1
"Bielefeld";"WestGER";"Novgorod";"Russia";"0";"0";"0";"0";"0";0;0;0
"Duisberg";"WestGER";"Perm";"Russia";"0";"0";"0";"0";"0";0;0;0
"Bad Homburg vor der Hohe";"WestGER";"Petergof";"Russia";"0";"0";"0";"0";"0";0;0;0
"Neustrelitz";"WestGER";"Petrozavodsk";"Russia";"0";"0";"0";"0";"0";0;0;0
"Neubrandenburg";"WestGER";"Petrozavodsk";"Russia";"0";"0";"0";"0";"0";0;0;0
"Schwerte";"WestGER";"Piatigorsk";"Russia";"0";"0";"0";"0";"0";0;0;0
"Neuss";"WestGER";"Pskov";"Russia";"0";"0";"0";"0";"0";0;0;0
"Trier-Land";"WestGER";"Podolsk";"Russia";"0";"0";"0";"0";"0";0;0;0
"Frankenthal";"WestGER";"Pushkin";"Russia";"0";"0";"0";"0";"0";0;0;0
"Zerbst/Anhalt";"WestGER";"Pushkin";"Russia";"0";"0";"0";"0";"0";0;0;0
"Bert";"WestGER";"Pushkino";"Russia";"0";"0";"0";"0";"0";0;0;0
"Dortmund";"WestGER";"Rostov-on-Don";"Russia";"0";"0";"0";"0";"0";0;0;0
"Lindau";"WestGER";"Serpukhov";"Russia";"0";"0";"0";"0";"0";0;0;0
"Gelsenkirchen";"WestGER";"Shakhty";"Russia";"0";"0";"0";"0";"0";0;0;0
"Hemer";"WestGER";"Shchyolkovo";"Russia";"0";"0";"0";"0";"0";0;0;0
"Rothenburg ob der Tauber";"WestGER";"Suzdal";"Russia";"0";"0";"0";"0";"0";0;0;0
"Ludenscheid";"WestGER";"Taganrog";"Russia";"1991";"0";"0";"0";"0";0;0;0
"Badenweiler";"WestGER";"Taganrog";"Russia";"2002";"0";"0";"0";"0";0;0;0
"Wolfsburg";"WestGER";"Tolyatti";"Russia";"0";"0";"0";"0";"0";0;0;0
"Villingen-Schwenningen";"WestGER";"Tula";"Russia";"0";"0";"0";"0";"0";0;0;0
"Halle";"WestGER";"Ufa";"Russia";"0";"0";"0";"0";"0";1;0;1
"Mannheim";"WestGER";"Ulan-Ude";"Russia";"0";"0";"0";"0";"0";0;0;0
"Wesermarsch";"WestGER";"Voronezh";"Russia";"0";"0";"0";"0";"0";0;0;0
"Hanau";"WestGER";"Yaroslavl";"Russia";"0";"0";"0";"0";"0";0;0;0
